School,Win.per,SOS,HomeW,HomeL,AwayW,AwayL,Pace,ORtg,FTr,ThreePAr,TS.per,TRB.per,AST.per,STL.per,BLK.per,eFG.per,TOV.per,ORB.per,FTperFGA,WinSOS,PPG,OPPG,GamesWon
Utah State NCAA,0.824,0.83,14,1,9,4,70,112.4,0.367,0.379,0.578,56.3,62,8.8,12.1,0.541,15.5,32,0.274,0.68392,79.17647059,66.79411765,0
Louisville NCAA,0.606,11.75,14,4,5,6,68.5,107.1,0.351,0.437,0.552,52.5,53.4,6.4,7.9,0.509,15.5,29.2,0.272,7.1205,74.54545455,67.81818182,0
Seton Hall NCAA,0.606,8.91,11,4,3,8,70.1,104.3,0.348,0.364,0.534,49.9,51.8,9.9,11.2,0.499,15.2,29.5,0.247,5.39946,73.93939394,71.48484848,0
North Dakota State NCAA,0.545,-2.5,10,3,4,9,66.7,108.9,0.317,0.474,0.578,48.9,46.3,7.2,6.6,0.543,14.3,20.9,0.245,-1.3625,73.21212121,72.18181818,0
Saint Louis NCAA,0.657,2.06,15,2,4,8,67.1,100,0.397,0.326,0.494,54.5,54.3,10.6,12.1,0.468,15.8,35.8,0.237,1.35342,67.05714286,63.74285714,0
Fairleigh Dickinson NCAA,0.606,-8.19,13,4,7,9,68.6,108.3,0.36,0.344,0.579,49.4,53.2,11,10.2,0.547,17.1,28.9,0.263,-4.96314,75.42424242,71.27272727,0
Montana NCAA,0.765,-5.82,12,2,9,5,68.5,111.6,0.319,0.385,0.591,52,52.3,9.5,8.6,0.57,15.5,27,0.22,-4.4523,76.76470588,68.32352941,0
North Carolina Central NCAA,0.545,-11.37,10,2,4,12,68.6,103.6,0.332,0.361,0.545,54.7,59.9,9.1,7.6,0.512,19,35.1,0.237,-6.19665,71.36363636,66.3030303,0
Gardner-Webb NCAA,0.676,-5.36,13,0,8,9,68.7,111.6,0.385,0.364,0.588,49.5,52.7,9.8,8.8,0.559,14.7,24.8,0.274,-3.62336,78.29411765,70.5,0
Northern Kentucky NCAA,0.765,-3.23,17,1,7,7,69.9,112.4,0.361,0.414,0.578,53.1,60.8,8.9,11.6,0.557,15.4,31,0.24,-2.47095,79.11764706,68.76470588,0
Colgate NCAA,0.706,-4.38,15,1,9,9,67.9,110.5,0.287,0.405,0.585,53,57.1,9,10.2,0.558,16.7,29.6,0.213,-3.09228,75.82352941,70.02941176,0
Bradley NCAA,0.588,-1.46,10,6,5,8,66.1,100.4,0.359,0.347,0.531,50.9,51.9,8.1,11.6,0.497,16.8,27.4,0.249,-0.85848,66.58823529,64.97058824,0
Iona NCAA,0.531,-6.19,8,3,5,9,71.3,107.8,0.371,0.436,0.567,48.5,50.3,9.5,8,0.53,15.4,25,0.275,-3.28689,76.84375,75.625,0
Yale NCAA,0.759,-1.65,11,2,8,5,72.7,110.2,0.311,0.343,0.589,53.2,57.2,8.1,11.2,0.561,16.1,26,0.229,-1.25235,81.13793103,73.20689655,0
Prairie View NCAA,0.647,-9.3,11,0,9,12,72.6,103.4,0.435,0.338,0.529,46.9,48.8,12.2,4.6,0.491,15.2,30,0.296,-6.0171,75.02941176,72.5,0
Vermont NCAA,0.818,-4.66,16,2,11,4,66.3,110.6,0.363,0.397,0.567,53.5,46.4,8.4,12.1,0.529,14.4,27.8,0.273,-3.81188,73.90909091,62.63636364,0
Belmont NCAA,0.839,-3.64,13,1,12,3,74.4,116.6,0.282,0.44,0.605,52.6,62.4,9.1,9.2,0.582,13.8,25.6,0.208,-3.05396,87.41935484,73.87096774,0
Old Dominion NCAA,0.765,-1.5,14,2,8,4,65.5,101.2,0.295,0.373,0.504,53.4,54,8.5,14.1,0.477,15.1,32.3,0.195,-1.1475,66.23529412,60.79411765,0
Abilene Christian NCAA,0.818,-8.1,13,2,10,4,67.3,109.8,0.34,0.343,0.569,50.9,58.4,12.9,8.1,0.54,15.5,29.4,0.243,-6.6258,74.48484848,63.09090909,0
