School,Win.per,SOS,HomeW,HomeL,AwayW,AwayL,Pace,ORtg,FTr,ThreePAr,TS.per,TRB.per,AST.per,STL.per,BLK.per,eFG.per,TOV.per,ORB.per,FTperFGA,WinSOS,PPG,OPPG,GamesWon
Pittsburgh NCAA,0.636,8.75,15,4,3,6,66.4,112.2,0.357,0.307,0.551,55.2,62.3,7.3,10,0.511,14.6,36.9,0.269,5.565,75.03030303,67.27272727,0
University of California NCAA,0.676,7.87,18,0,4,7,68.2,108.5,0.417,0.337,0.55,54.5,48.3,5.9,10.9,0.522,15.3,32.6,0.274,5.32012,74.85294118,67.32352941,0
Marquette NCAA,0.594,8.6,14,3,4,6,71.1,115.2,0.31,0.415,0.607,49.6,57.1,10.1,9.3,0.576,15.5,27,0.242,5.1084,82.21875,75.5625,0
Cincinnati NCAA,0.794,5.28,18,1,7,3,63.6,107.5,0.387,0.309,0.519,53.2,52.8,12.4,16,0.477,14.4,39.1,0.274,4.19232,68.38235294,58.41176471,0
Cincinnati NCAA,0.667,5.25,14,3,6,6,65.5,108.9,0.332,0.366,0.527,53.2,59.7,11.6,15.5,0.493,13.7,36.6,0.234,3.50175,73.27272727,63.33333333,0
Oklahoma NCAA,0.697,8.97,14,3,5,4,71.7,112.9,0.394,0.37,0.56,50.9,53.1,9.4,8.4,0.517,13.5,32.4,0.295,6.25209,81.93939394,76,0
Kansas State NCAA,0.6,10.48,11,5,5,6,67.5,106.4,0.412,0.363,0.56,49.2,60,11.4,10.3,0.527,16.8,29.5,0.286,6.288,72.08571429,67.77142857,0
Texas NCAA,0.606,11.71,14,3,5,5,66.8,106.1,0.394,0.361,0.526,49.1,46.3,7.5,11.6,0.494,13.2,30.7,0.263,7.09626,71.36363636,68.27272727,0
Arkansas NCAA,0.657,9.85,15,2,3,7,71.3,111.8,0.374,0.321,0.565,48.9,49.9,8.6,13.8,0.538,13.2,28.7,0.255,6.47145,80.54285714,75.62857143,0
Seton Hall NCAA,0.735,8.28,13,3,7,4,70.7,104.5,0.404,0.297,0.529,52.4,51,10.4,11.4,0.498,16.4,34.7,0.266,6.0858,74.17647059,67.79411765,0
Minnesota NCAA,0.706,8.82,17,3,5,5,70.3,104.6,0.396,0.299,0.528,50.5,57.2,7.9,15.9,0.487,14,29.6,0.281,6.22692,75.17647059,69.44117647,0
Virginia Commonwealth NCAA,0.743,4.78,15,0,6,5,70.4,105,0.352,0.339,0.512,50.6,49.8,15.6,11.5,0.479,14.2,34.3,0.237,3.55154,74.97142857,65.2,0
Miami (FL) NCAA,0.636,9.57,14,2,4,6,64.7,106.3,0.343,0.326,0.544,53,47.8,9.9,10.5,0.51,16.6,33.4,0.246,6.08652,69.03030303,64.12121212,0
Virginia Tech NCAA,0.636,6.72,14,4,6,5,69.9,112.9,0.365,0.399,0.602,48.8,58.2,8.2,6.6,0.577,15.3,23.7,0.259,4.27392,79.81818182,72.18181818,0
Texas NCAA,0.559,10.67,13,4,3,7,66.9,103.9,0.33,0.381,0.527,50,44.7,8.9,12.8,0.5,14.6,29.3,0.219,5.96453,72.05882353,68.76470588,0
Missouri NCAA,0.606,9.19,13,3,5,6,67.3,107.1,0.39,0.453,0.573,53.2,55.8,7.6,11.3,0.537,18.3,31.1,0.286,5.56914,72.6969697,68.06060606,0
Oklahoma NCAA,0.563,10.56,13,2,2,9,76.5,109.7,0.332,0.405,0.569,49.8,50.2,8.4,11,0.535,15.2,28.3,0.247,5.94528,84.9375,81.6875,0
Michigan NCAA,0.639,7.92,13,4,4,6,65.7,111.9,0.278,0.44,0.573,49.2,56.7,8.6,6.4,0.546,13.1,24.7,0.205,5.06088,73.77777778,67.38888889,0
Providence NCAA,0.647,9.5,13,4,5,6,65.7,105.4,0.407,0.289,0.526,52.9,57.2,10.8,13.5,0.484,15.3,35.1,0.287,6.1465,69.70588235,65.5,0
Vanderbilt NCAA,0.543,10.72,11,5,5,6,67.1,105.6,0.348,0.486,0.563,50,55.2,6.2,9.8,0.521,16.3,24.7,0.271,5.82096,71.11428571,68.14285714,0
Southern California NCAA,0.618,7.64,16,2,3,7,72.5,109.4,0.351,0.322,0.549,51.1,51.3,8.6,12.5,0.522,14.3,32.1,0.237,4.72152,80.5,74.61764706,0
Arizona State NCAA,0.636,7.41,16,1,4,7,69,107.2,0.425,0.371,0.558,48.4,56.3,7.2,12.8,0.524,14.5,24.5,0.295,4.71276,75.33333333,69.42424242,0
Dayton NCAA,0.75,4.27,15,1,7,3,69.4,108.9,0.436,0.381,0.571,49.7,61,11.2,11.9,0.538,15,25.8,0.301,3.2025,75.875,66.4375,0
Oklahoma State NCAA,0.563,9.63,12,4,3,8,64.6,103.6,0.387,0.388,0.547,48.6,49.9,12.1,13.7,0.507,16.6,27.8,0.281,5.42169,67.5,62.84375,0
Indiana NCAA,0.588,7.2,15,4,3,6,66.9,115.3,0.327,0.395,0.573,52.2,51.2,7.4,7.8,0.544,14.6,35.2,0.235,4.2336,77.44117647,71.70588235,0
Southern Methodist NCAA,0.794,3.57,16,2,8,4,63.3,108.8,0.44,0.229,0.555,55,63,11,14.7,0.517,16.8,37.1,0.309,2.83458,69.11764706,59.76470588,0
Purdue NCAA,0.618,7.64,14,3,4,6,64.9,106.4,0.417,0.324,0.539,53.5,61.1,8.3,13.6,0.502,16.8,36.5,0.285,4.72152,69.85294118,64.55882353,0
North Carolina State NCAA,0.636,6.7,16,3,4,5,72.1,112.3,0.342,0.344,0.562,50.3,55,10.2,9.2,0.534,14.3,33.3,0.238,4.2612,81.27272727,75.06060606,0
Miami (FL) NCAA,0.688,6.96,11,3,8,4,67.8,107.9,0.291,0.36,0.551,50.6,48.5,9.6,11,0.531,14.6,29.1,0.192,4.78848,73.78125,67.90625,0
Maryland NCAA,0.727,8.29,13,5,8,2,68.1,108.1,0.398,0.411,0.557,50.3,57.1,8,11.9,0.523,16.3,31.1,0.278,6.02683,73.87878788,68.06060606,0
Virginia Commonwealth NCAA,0.722,6.1,12,4,8,4,66.4,106.5,0.373,0.399,0.518,49.2,50.9,14,12.5,0.487,13.2,31.8,0.245,4.4042,72.47222222,65.77777778,0
Virginia Tech NCAA,0.667,8.38,15,2,4,6,69.8,112.5,0.409,0.397,0.603,48.2,56,5.6,7,0.569,15.5,23.4,0.301,5.58946,79.09090909,74.6969697,0
New Mexico NCAA,0.794,4.84,13,2,8,2,65.6,111.2,0.466,0.32,0.556,53.8,61.6,7.2,13.3,0.511,13.8,32.5,0.338,3.84296,74,66.11764706,0
Georgia NCAA,0.636,8.6,12,4,8,4,64.8,102.8,0.477,0.311,0.53,53,55,8.4,12.4,0.485,16.5,32.2,0.331,5.4696,68.18181818,64.36363636,0
Texas Tech NCAA,0.594,10.25,14,3,3,7,66.7,106.7,0.422,0.304,0.547,50.1,53.2,8.8,11.8,0.5,15.5,31.2,0.314,6.0885,72.03125,69.875,0
San Diego State NCAA,0.667,3.91,13,2,5,7,70.4,109.6,0.357,0.36,0.553,53.7,54.1,8.9,9.4,0.519,14.6,31.8,0.255,2.60797,77.12121212,67.87878788,0
Kansas State NCAA,0.606,8.47,15,2,2,7,65.6,104.2,0.403,0.325,0.52,50.7,63,9.4,8,0.488,15.6,34.7,0.264,5.13282,69.09090909,65.42424242,0
Seton Hall NCAA,0.636,9.25,12,2,4,6,69,104.9,0.376,0.307,0.526,54.7,46.4,9.9,6.6,0.499,16.4,35.7,0.242,5.883,73.24242424,70.39393939,0
Colorado NCAA,0.647,7.64,16,1,4,7,70.8,106.3,0.398,0.319,0.534,55.7,53.3,7.3,11.6,0.488,15.8,35.3,0.293,4.94308,75.76470588,70.79411765,0
Davidson NCAA,0.75,3.19,14,1,9,4,67.2,117.1,0.287,0.456,0.578,50.3,60.9,7.9,7.5,0.556,12.2,30,0.203,2.3925,79.03125,69.40625,0
St. John's (NY) NCAA,0.636,9.04,15,3,5,6,67.6,104.6,0.363,0.301,0.529,47.4,48.9,11,16.8,0.494,13.7,28.4,0.251,5.74944,71,67.87878788,0
Brigham Young NCAA,0.657,5.72,14,1,5,7,73.5,111.9,0.483,0.228,0.545,53.3,53.8,9.6,7.3,0.503,12.8,34.7,0.334,3.75804,83.74285714,77.31428571,0
Virginia Commonwealth NCAA,0.743,3.77,15,1,7,4,69,106.8,0.364,0.294,0.544,51.8,55.6,10.7,10.6,0.51,15.3,31.2,0.257,2.80111,74.74285714,66.94285714,0
Louisiana State NCAA,0.667,5.63,13,4,8,3,69.6,103.1,0.335,0.284,0.533,51.5,57.8,10.2,14,0.503,17.3,33.9,0.229,3.75521,73.42424242,67.66666667,0
Mississippi NCAA,0.618,7.01,9,7,8,4,67,107.9,0.361,0.331,0.527,51.8,53.1,9.8,11.3,0.478,13.9,34.8,0.279,4.33218,72.79411765,68.41176471,0
Providence NCAA,0.657,7.85,13,3,5,6,64.9,109.1,0.419,0.317,0.539,52.4,56.1,8.3,12,0.483,14.6,35.4,0.328,5.15745,73.31428571,69.8,0
Dayton NCAA,0.758,4.76,14,3,8,2,68.6,104.5,0.408,0.35,0.546,53.2,57.4,8.6,12.2,0.516,16.3,28.7,0.272,3.60808,72.51515152,65.93939394,0
Providence NCAA,0.6,10.23,13,4,4,7,69.5,104,0.386,0.329,0.534,49.6,53.9,9.6,9.8,0.496,15.1,28.7,0.272,6.138,73.57142857,72.68571429,0
Davidson NCAA,0.636,2.57,11,1,6,8,65.3,115.6,0.246,0.484,0.602,50.8,61.3,7.1,6.1,0.574,13.1,22.3,0.196,1.63452,76.33333333,67.87878788,0
Colorado NCAA,0.657,8.8,16,2,5,6,67,103.7,0.483,0.304,0.534,54.3,48.8,8.7,9,0.483,16.8,34,0.346,5.7816,70.2,68.2,0
Massachusetts NCAA,0.727,6,11,2,7,4,71.7,105.3,0.392,0.261,0.538,51.9,55.4,9.5,12.3,0.504,16.1,34.4,0.268,4.362,75.81818182,71.21212121,0
George Washington NCAA,0.727,4.42,14,1,6,5,68,107.3,0.466,0.284,0.546,52.5,54.9,10.4,11.2,0.515,16.2,35.1,0.304,3.21334,73.18181818,67,0
Nevada NCAA,0.8,2.03,13,1,8,4,70.9,112,0.413,0.402,0.561,52.4,59.9,7.6,11,0.525,13.4,30.3,0.291,1.624,79.77142857,71.31428571,0
Oregon State NCAA,0.594,9.26,12,3,4,7,68.4,105.1,0.373,0.319,0.53,48.3,53.3,10.8,9.7,0.499,14.3,29.2,0.25,5.50044,71.90625,70.125,0
Nebraska NCAA,0.594,8.5,15,1,3,8,65.4,102.2,0.423,0.335,0.528,48.6,42.3,10.6,9.3,0.483,14.7,25.7,0.303,5.049,66.78125,65.15625,0
New Mexico State NCAA,0.824,-1.1,14,1,8,3,70.1,107.5,0.287,0.367,0.538,56,49.9,7.9,8.6,0.519,15.2,34.2,0.184,-0.9064,75.64705882,64.20588235,0
Saint Joseph's NCAA,0.706,5.08,11,4,8,4,66,108.1,0.436,0.369,0.563,52,56.7,6.7,11.9,0.539,15.9,29,0.281,3.58648,71.55882353,67.58823529,0
North Carolina State NCAA,0.611,7.44,13,6,6,6,64.9,108.1,0.37,0.255,0.529,49.5,49.1,7.3,10.8,0.5,13.4,34.2,0.243,4.54584,71.13888889,69.55555556,0
St. Bonaventure NCAA,0.765,2.61,13,1,9,4,69.4,109.5,0.405,0.337,0.561,50.5,53.4,10,10.8,0.516,14.3,29.2,0.305,1.99665,77.05882353,70.79411765,0
Stephen F. Austin NCAA,0.853,-4.2,15,1,10,3,68,115.2,0.427,0.37,0.594,54.2,65.4,11.2,10,0.557,17.5,37.9,0.314,-3.5826,78.58823529,64.35294118,0
North Carolina-Wilmington NCAA,0.829,-0.55,13,1,11,3,71.5,118.1,0.317,0.411,0.578,51.6,52.7,9.3,8.2,0.555,12.4,32.8,0.219,-0.45595,84.77142857,74.97142857,0
Buffalo NCAA,0.697,1.6,11,2,9,7,68.7,108.5,0.426,0.303,0.533,52,51.7,10.9,11.3,0.487,14.1,34.5,0.306,1.1152,74.60606061,68.27272727,0
Temple NCAA,0.636,6.57,11,3,8,4,65.8,102.4,0.266,0.375,0.498,49.3,54.1,7.8,7.8,0.47,11.8,29.1,0.182,4.17852,68.6969697,67.57575758,0
East Tennessee State NCAA,0.771,-2.11,13,2,8,5,71.4,110.2,0.432,0.352,0.587,53.1,53.8,11.6,13.6,0.555,18,31.3,0.304,-1.62681,79.48571429,69.65714286,0
Murray State NCAA,0.813,-3.53,14,2,10,3,68.2,115.3,0.381,0.399,0.591,54.1,54.1,9.9,8.7,0.558,15.3,33,0.28,-2.86989,78.59375,66.15625,0
South Dakota State NCAA,0.8,-0.38,15,0,8,5,72.3,115.6,0.354,0.432,0.59,52.2,46.6,6.7,5.9,0.554,12.3,24.7,0.269,-0.304,84.51428571,74.25714286,0
Vermont NCAA,0.829,-3.27,16,1,11,3,65.4,112.4,0.341,0.325,0.58,52.8,50.5,8.7,11.4,0.554,15,30.3,0.239,-2.71083,73.45714286,62.11428571,0
Princeton NCAA,0.767,-1.84,10,1,10,4,65.2,109.5,0.242,0.46,0.562,50,55.2,10.2,9.5,0.537,13.5,24.4,0.179,-1.41128,71.63333333,61.43333333,0
Valparaiso NCAA,0.824,-2,15,1,8,4,63.8,108.6,0.368,0.338,0.548,55.1,52.9,9.3,14.1,0.52,16.4,35.6,0.248,-1.648,69.58823529,59.44117647,0
Montana NCAA,0.765,-2.25,14,0,8,6,70,108.7,0.386,0.272,0.549,53.3,45.3,10.9,9.2,0.513,15,33.1,0.273,-1.72125,77.20588235,68.5,0
North Carolina-Wilmington NCAA,0.758,0.35,12,2,8,5,71.3,110,0.373,0.332,0.546,50.6,47.2,10.3,11.2,0.512,13.5,32.2,0.262,0.2653,79.39393939,72.09090909,0
Tulsa NCAA,0.618,1.17,11,3,6,7,68.7,105,0.471,0.318,0.532,50.3,51.1,9.9,10.5,0.492,14.5,30.2,0.318,0.72306,72.67647059,67.61764706,0
New Mexico State NCAA,0.722,-2.58,14,1,8,7,66.9,113.8,0.535,0.273,0.576,53.5,50.6,6.9,13.5,0.539,16,37.5,0.368,-1.86276,76.97222222,67.08333333,0
Manhattan NCAA,0.758,-0.9,9,3,12,4,70.3,107.1,0.555,0.307,0.547,50.7,52.3,11.5,15.3,0.507,16.8,34.4,0.368,-0.6822,76.96969697,70.03030303,0
Bucknell NCAA,0.743,-2.48,14,2,9,6,70.7,107.9,0.372,0.384,0.578,50.6,54.1,10.2,9.7,0.553,16.8,26.7,0.253,-1.84264,76.25714286,67.88571429,0
South Dakota State NCAA,0.765,-1.22,13,0,8,7,68.8,110.8,0.402,0.367,0.558,53.7,43.4,7.2,6.6,0.515,14.7,32.5,0.298,-0.9333,76.20588235,68.11764706,0
Fresno State NCAA,0.714,2.24,16,2,6,7,70.1,105.7,0.379,0.3,0.524,50.4,50.3,11.9,11.8,0.487,13.1,31.1,0.263,1.59936,75.14285714,70.71428571,0
New Mexico State NCAA,0.824,-3.82,17,1,8,4,70,112.1,0.431,0.382,0.568,54.4,55.3,6.9,9.6,0.531,16.5,36.7,0.307,-3.14768,78.76470588,67.94117647,0
North Carolina-Greensboro NCAA,0.771,-3.87,16,1,8,6,66.9,107.1,0.265,0.452,0.548,55,52.7,11.2,12.4,0.525,17.1,34.1,0.185,-2.98377,73.2,62.54285714,0
Bucknell NCAA,0.714,-3.46,15,1,10,8,72.4,110.3,0.425,0.392,0.576,50.8,52.3,7.5,10.4,0.539,15.1,26.9,0.306,-2.47044,81.05714286,73.11428571,0
Harvard NCAA,0.733,-0.25,12,2,9,4,61.2,103.2,0.393,0.266,0.524,52.5,57.2,11.4,13.1,0.481,16,32.7,0.283,-0.18325,64.2,57.56666667,0
North Carolina Central NCAA,0.824,-8.03,14,0,11,5,64.7,112.5,0.476,0.297,0.559,52.6,59,11.7,12.4,0.513,14.8,36.6,0.347,-6.61672,73.91176471,59.5,0
Wyoming NCAA,0.714,-0.04,17,2,5,7,58.3,103.1,0.394,0.397,0.56,49.9,67.1,9.2,8.9,0.526,16.9,22.3,0.277,-0.02856,61.45714286,56.4,0
Stony Brook NCAA,0.788,-5.28,15,1,11,5,67.8,112,0.32,0.3,0.548,55.4,58,9.1,12.1,0.524,14.2,36,0.215,-4.16064,76.21212121,64.09090909,0
New Mexico State NCAA,0.676,-3.67,15,2,6,8,62.9,107.5,0.441,0.257,0.548,54.9,50.2,10.2,9.2,0.509,18.2,39.9,0.306,-2.48092,68.11764706,59.79411765,0
UC-Irvine NCAA,0.618,0.45,10,3,6,9,63.7,105.2,0.292,0.301,0.544,51.2,56.2,8.9,12.6,0.52,15.8,30.2,0.2,0.2781,67.5,62.14705882,0
Iona NCAA,0.667,-1.78,11,2,8,6,72.5,109.5,0.324,0.44,0.566,49.7,60,10.3,10.6,0.538,15.4,29.2,0.23,-1.18726,79.63636364,74.27272727,0
Chattanooga NCAA,0.829,-3.46,13,1,10,4,68.1,110.5,0.413,0.371,0.565,52.3,56.2,11.3,13.1,0.524,15.7,32.6,0.304,-2.86834,75.77142857,67.54285714,0
Georgia State NCAA,0.686,-2.78,11,3,9,6,68,108.7,0.303,0.413,0.562,47.7,48.6,10.6,15.1,0.54,14.5,25.6,0.205,-1.90708,74.68571429,67.31428571,0
Louisiana NCAA,0.657,-0.28,13,2,6,9,71.2,111.4,0.429,0.315,0.554,52.3,47.8,9.8,10.2,0.522,15.2,36.3,0.288,-0.18396,81,75.22857143,0
Delaware NCAA,0.714,-1.1,10,2,11,7,70.9,111.7,0.439,0.345,0.546,48.1,40.3,8.4,8.5,0.504,11.6,29.1,0.312,-0.7854,79.48571429,75.65714286,0
Stephen F. Austin NCAA,0.8,-6.46,16,1,9,5,73.8,109.1,0.398,0.316,0.576,52.6,49.8,14,9.7,0.544,18.1,33.3,0.28,-5.168,80.54285714,68.17142857,0
Cal State Bakersfield NCAA,0.727,-5.15,14,1,7,7,68.4,105.8,0.374,0.27,0.527,52.8,59,11.6,14.2,0.497,15.1,34.6,0.245,-3.74405,72.87878788,63.75757576,0
Wofford NCAA,0.8,-2.98,13,1,10,5,62.7,106.2,0.382,0.331,0.547,51.1,56.4,10.4,7.2,0.516,15.1,29.1,0.262,-2.384,66.6,59.68571429,0
Florida Gulf Coast NCAA,0.765,-3.42,16,3,10,3,69.3,113.8,0.329,0.315,0.579,53.9,52.3,8.7,9.7,0.554,15.3,33.9,0.231,-2.6163,79.44117647,69.29411765,0
Pennsylvania NCAA,0.727,-3.17,11,3,9,4,70.2,105.3,0.334,0.427,0.555,51,56.9,8.2,7,0.533,14.8,23.6,0.22,-2.30459,75.93939394,68.90909091,0
Northeastern NCAA,0.657,-1.34,9,3,8,7,63.5,106.7,0.413,0.305,0.581,54.2,59.7,8.1,9.3,0.545,19,30.1,0.3,-0.88038,68.48571429,65.11428571,0
College of Charleston NCAA,0.765,-3.29,14,0,7,6,65.9,111.1,0.367,0.378,0.567,49.6,44.2,7.8,9.8,0.527,13.2,25.6,0.277,-2.51685,74.58823529,68.55882353,0
Western Michigan NCAA,0.697,-1.45,13,2,6,7,66.5,106.5,0.508,0.352,0.568,51.3,48.3,8.7,9.6,0.52,18.2,31.6,0.368,-1.01065,71.90909091,67.72727273,0
Winthrop NCAA,0.788,-6.12,13,3,12,3,71.5,108.3,0.37,0.429,0.568,50.3,47.5,8.9,13.1,0.535,15.7,27.1,0.266,-4.82256,79.24242424,70.36363636,0
Buffalo NCAA,0.571,0.9,10,5,5,9,72.6,105.9,0.414,0.37,0.54,51.7,48.2,9.4,9.2,0.499,15.9,32.2,0.294,0.5139,77.4,75.25714286,0
Green Bay NCAA,0.639,-0.67,11,3,8,9,77.3,107.1,0.429,0.311,0.533,48.7,47.8,12.7,11.1,0.5,13.5,30.9,0.282,-0.42813,83.69444444,80,0
North Carolina-Asheville NCAA,0.647,-3.25,11,3,6,7,70.4,105.8,0.41,0.306,0.541,51.5,47,12.9,9,0.505,15.9,31.9,0.284,-2.10275,75.05882353,68.02941176,0
Iona NCAA,0.629,-2.47,8,4,7,7,72.3,110,0.31,0.4,0.569,48.2,55.3,9.3,7.7,0.534,14.6,27,0.238,-1.55363,80.37142857,76.82857143,0
